Student_ID,Age,Gender,Marital_Status,Course_Chosen,Application_Mode,Residence_Location,Parental_Education,Parental_Income_Level,Employment_Status,Socioeconomic_Level,Study_Career,Attendance,Grade_0_10,Approval_Ratio,Semester_Average_Grade,Retention,Unemployment_Rate,Inflation_Rate,Regional_GDP,Year,Soc_Num
STUD_496,23,Male,Single,Technologies,Online,Suburban,Master,65990.0,Part-time,Low,Engineering,95.1,4.418641873333334,4.0,2.2,1,5,2.5,25000,2019,1
STUD_191,20,Male,Married,Education,Online,Suburban,High School,65052.0,Employed,Medium,Science,65.0,3.734499281666666,0.2,3.97,0,5,2.5,25000,2020,2
STUD_125,23,Female,Married,Agronomy,In-person,Suburban,Bachelor,69334.0,Unemployed,Low,Arts,81.2,4.112787635,0.0,2.61,0,5,2.5,25000,2019,1
STUD_304,21,Male,Divorced,Agronomy,Online,Suburban,Bachelor,36497.0,Employed,Medium,Arts,82.1,5.663707605,0.0,2.33,0,5,2.5,25000,2019,2
STUD_357,26,Male,Single,Management,Online,Suburban,Bachelor,97292.0,Employed,Low,Engineering,90.3,5.848241961666667,1.0,3.71,0,5,2.5,25000,2018,1
STUD_29,20,Male,Divorced,Agronomy,In-person,Rural,Master,97291.0,Unemployed,Low,Arts,70.9,5.732614885,0.88,0.41,0,5,2.5,25000,2021,1
STUD_63,22,Male,Widowed,Education,Online,Urban,Bachelor,21036.0,Part-time,Medium,Arts,77.5,6.237529505,7.0,0.81,1,5,2.5,25000,2021,2
STUD_38,21,Male,Widowed,Nursing,Online,Rural,PhD,109683.0,Employed,Low,Arts,72.2,3.442539005,0.5,0.8,1,5,2.5,25000,2021,1
STUD_178,18,Female,Widowed,Agronomy,Referral,Rural,Bachelor,46972.0,Unemployed,High,Science,78.6,3.8928552166666663,0.5,1.62,1,5,2.5,25000,2017,3
STUD_171,18,Female,Divorced,Nursing,Online,Rural,Bachelor,29227.0,Employed,Medium,Engineering,68.4,4.334564235,0.5,3.99,1,5,2.5,25000,2017,2
